"region_count","ratio_tumor_tissue","largest_tumor_area","longest_axis_largest_tumor","pixels_gt_90","avg_prediction","max_area","mean_area","area_variance","area_skew","area_kurt","max_perimeter","mean_perimeter","perimeter_variance","perimeter_skew","perimeter_kurt","max_eccentricity","mean_eccentricity","eccentricity_variance","eccentricity_skew","eccentricity_kurt","max_extent","mean_extent","extent_variance","extent_skew","extent_kurt","max_solidity","mean_solidity","solidity_variance","solidity_skew","solidity_kurt","label"
2.0,0.0,4.0,3.46,3.0,247.0,2.0,1.5,0.25,0.0,-2.0,0.0,0.0,0.0,0.0,-3.0,1.0,0.5,0.25,0.0,-2.0,1.0,0.97,0.01,-2.85,6.1,1.0,1.0,0.0,0.0,-3.0,0
5.0,0.0,5.0,4.62,6.0,238.4,2.0,1.2,0.16,1.5,0.25,0.0,0.0,0.0,0.0,-3.0,1.0,0.2,0.16,1.5,0.25,1.0,0.95,0.02,-2.56,4.78,1.0,1.0,0.0,0.0,-3.0,0
7.0,0.0,6.0,3.13,10.0,238.62,3.0,1.43,0.53,1.36,0.23,3.41,0.49,1.43,2.04,2.17,1.0,0.26,0.17,1.0,-0.94,1.0,0.96,0.01,-2.86,7.17,1.0,1.0,0.0,0.0,-3.0,0
2.0,0.0,3.0,2.31,2.0,231.5,1.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,1.0,0.98,0.0,-3.02,7.09,1.0,1.0,0.0,0.0,-3.0,0
8.0,0.0,6.0,4.06,8.0,243.25,1.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,1.0,0.95,0.02,-2.7,6.13,1.0,1.0,0.0,0.0,-3.0,0
3.0,0.0,5.0,3.34,3.0,252.0,1.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,1.0,0.95,0.01,-2.23,3.68,1.0,1.0,0.0,0.0,-3.0,0
1.0,0.0,2.0,2.0,1.0,233.0,1.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,1.0,1.0,0.0,0.0,-3.0,1.0,1.0,0.0,0.0,-3.0,0
2.0,0.0,12.0,6.09,3.0,242.25,2.0,1.5,0.25,0.0,-2.0,0.0,0.0,0.0,0.0,-3.0,1.0,0.5,0.25,0.0,-2.0,1.0,0.89,0.03,-1.23,-0.15,1.0,1.0,0.0,0.0,-3.0,0
1.0,0.0,3.0,2.31,1.0,240.0,1.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,1.0,0.92,0.02,-1.68,1.53,1.0,1.0,0.0,0.0,-3.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13.0,0.0,7.0,4.8,14.0,240.65,2.0,1.08,0.07,3.18,8.08,0.0,0.0,0.0,0.0,-3.0,1.0,0.08,0.07,3.18,8.08,1.0,0.96,0.01,-2.82,6.76,1.0,1.0,0.0,0.0,-3.0,0
8.0,0.0,5.0,4.19,11.0,242.12,2.0,1.38,0.23,0.52,-1.73,0.0,0.0,0.0,0.0,-3.0,1.0,0.38,0.23,0.52,-1.73,1.0,0.97,0.01,-3.71,12.28,1.0,1.0,0.0,0.0,-3.0,0
4.0,0.0,5.0,3.1,5.0,241.25,2.0,1.25,0.19,1.15,-0.67,0.0,0.0,0.0,0.0,-3.0,1.0,0.25,0.19,1.15,-0.67,1.0,0.96,0.01,-2.74,6.9,1.0,1.0,0.0,0.0,-3.0,0
3.0,0.0,4.0,2.0,4.0,236.0,2.0,1.33,0.22,0.71,-1.5,0.0,0.0,0.0,0.0,-3.0,1.0,0.33,0.22,0.71,-1.5,1.0,0.98,0.0,-3.33,9.08,1.0,1.0,0.0,0.0,-3.0,0
1.0,0.0,3.0,3.68,1.0,239.0,1.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,1.0,0.97,0.01,-3.54,11.03,1.0,1.0,0.0,0.0,-3.0,0
19.0,0.0,8.0,6.37,25.0,237.37,3.0,1.32,0.32,1.62,1.62,3.41,0.18,0.58,4.01,14.06,1.0,0.25,0.18,1.1,-0.76,1.0,0.96,0.01,-2.95,8.08,1.0,1.0,0.0,0.0,-3.0,0
29.0,0.0,10.0,8.44,36.0,239.32,3.0,1.24,0.25,1.99,3.13,3.41,0.12,0.39,5.1,24.04,1.0,0.2,0.16,1.47,0.18,1.0,0.96,0.01,-2.77,6.74,1.0,1.0,0.0,0.0,-3.0,0
20.0,0.0,10.0,4.2,35.0,240.23,8.0,1.75,3.29,2.64,5.59,7.41,0.68,4.23,2.71,5.42,1.0,0.21,0.15,1.32,-0.06,1.0,0.95,0.01,-2.05,2.66,1.0,1.0,0.0,0.0,-3.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5.0,0.0,5.0,3.1,6.0,238.3,2.0,1.2,0.16,1.5,0.25,0.0,0.0,0.0,0.0,-3.0,1.0,0.2,0.16,1.5,0.25,1.0,0.95,0.01,-2.61,6.3,1.0,1.0,0.0,0.0,-3.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
12.0,0.0,10.0,4.75,21.0,238.97,4.0,1.75,1.02,1.0,-0.38,4.62,0.75,2.27,1.78,1.49,1.0,0.38,0.21,0.39,-1.78,1.0,0.93,0.03,-1.98,2.51,1.0,1.0,0.0,0.0,-3.0,0
6.0,0.0,8.0,5.45,9.0,236.42,2.0,1.5,0.25,0.0,-2.0,0.0,0.0,0.0,0.0,-3.0,1.0,0.5,0.25,0.0,-2.0,1.0,0.97,0.01,-3.14,9.25,1.0,1.0,0.0,0.0,-3.0,0
6.0,0.0,4.0,3.4,6.0,234.33,1.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,1.0,0.96,0.02,-2.82,6.82,1.0,1.0,0.0,0.0,-3.0,0
21.0,0.0,8.0,4.12,28.0,239.29,3.0,1.33,0.41,1.72,1.54,3.41,0.22,0.58,3.63,12.08,1.0,0.23,0.17,1.25,-0.4,1.0,0.96,0.01,-2.8,6.96,1.0,0.99,0.0,-4.25,16.05,0
1.0,0.0,5.0,3.1,1.0,249.0,1.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,1.0,0.91,0.02,-0.82,-1.0,1.0,1.0,0.0,0.0,-3.0,0
5.0,0.0,5.0,3.34,6.0,236.7,2.0,1.2,0.16,1.5,0.25,0.0,0.0,0.0,0.0,-3.0,1.0,0.2,0.16,1.5,0.25,1.0,0.97,0.01,-3.74,14.13,1.0,1.0,0.0,0.0,-3.0,0
5.0,0.0,9.0,5.39,5.0,238.2,1.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,1.0,0.94,0.02,-2.41,4.44,1.0,1.0,0.0,0.0,-3.0,0
65.0,0.0,20.0,8.59,90.0,240.87,4.0,1.38,0.51,1.79,2.26,4.0,0.27,0.77,3.32,9.64,1.0,0.24,0.17,1.2,-0.53,1.0,0.93,0.03,-2.26,3.63,1.0,1.0,0.0,0.0,-3.0,0
3.0,0.0,6.0,3.83,3.0,237.33,1.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,1.0,0.93,0.02,-2.22,3.78,1.0,1.0,0.0,0.0,-3.0,0
